PUSHKA UnitPus(FR) 3
PUSHKA UnitPus(FR) 4
PUSHKA UnitPus(FR) 5
PUSHKA UnitPus(FR) 6
$EXPLODE PUSHKA 0 0 PU2ZDANIA 1
LOSHAD PusKon1(NE) 0
LOSHAD PusKon2(NE) 1
$EXPLODE LOSHAD 0 0 PUWN 0
LOSHAD1 PusKon1(NE) 1
LOSHAD1 PusKon2(NE) 2
$EXPLODE LOSHAD1 0 0 PUWN 0
GPUSHKA UnitPus(FR) 3
GPUSHKA UnitPus(FR) 4
GPUSHKA UnitPus(FR) 5
GPUSHKA UnitPus(FR) 6
$EXPLODE GPUSHKA 0 0 PU2ZDANIA 1
LPUSHKA UnitPus(FR) 3
LPUSHKA UnitPus(FR) 4
LPUSHKA UnitPus(FR) 5
LPUSHKA UnitPus(FR) 6
$EXPLODE LPUSHKA 0 0 PU2ZDANIA 1
$EXPLODE POVOZKA 0 0 PU2ZDANIA 0
RAKETA UnitPus(EN) 3
RAKETA UnitPus(EN) 4
$EXPLODE RAKETA 0 0 PU2ZDANIA 1
EPUSHKA UnitPus(EG) 3
EPUSHKA UnitPus(EG) 4
EPUSHKA UnitPus(EG) 5
EPUSHKA UnitPus(EG) 6
$EXPLODE EPUSHKA 0 0 PU2ZDANIA 1
EGPUSHKA UnitPus(EG) 3
EGPUSHKA UnitPus(EG) 4
EGPUSHKA UnitPus(EG) 5
EGPUSHKA UnitPus(EG) 6
$EXPLODE EGPUSHKA 0 0 PU2ZDANIA 1
ELPUSHKA UnitPus(EG) 3
ELPUSHKA UnitPus(EG) 4
ELPUSHKA UnitPus(EG) 5
ELPUSHKA UnitPus(EG) 6
$EXPLODE ELPUSHKA 0 0 PU2ZDANIA 1
RPUSHKA UnitPus(RU) 3
RPUSHKA UnitPus(RU) 4
RPUSHKA UnitPus(RU) 5
RPUSHKA UnitPus(RU) 6
$EXPLODE RPUSHKA 0 0 PU2ZDANIA 1
RGPUSHKA UnitPus(RU) 3
RGPUSHKA UnitPus(RU) 4
RGPUSHKA UnitPus(RU) 5
RGPUSHKA UnitPus(RU) 6
$EXPLODE RGPUSHKA 0 0 PU2ZDANIA 1
RLPUSHKA UnitPus(RU) 3
RLPUSHKA UnitPus(RU) 4
RLPUSHKA UnitPus(RU) 5
RLPUSHKA UnitPus(RU) 6
$EXPLODE RLPUSHKA 0 0 PU2ZDANIA 1
ENGPUSHKA UnitPus(EN) 3
ENGPUSHKA UnitPus(EN) 4
ENGPUSHKA UnitPus(EN) 5
ENGPUSHKA UnitPus(EN) 6
$EXPLODE ENGPUSHKA 0 0 PU2ZDANIA 1
ENGGPUSHKA UnitPus(EN) 3
ENGGPUSHKA UnitPus(EN) 4
ENGGPUSHKA UnitPus(EN) 5
ENGGPUSHKA UnitPus(EN) 6
$EXPLODE ENGGPUSHKA 0 0 PU2ZDANIA 1
ENGLPUSHKA UnitPus(EN) 3
ENGLPUSHKA UnitPus(EN) 4
ENGLPUSHKA UnitPus(EN) 5
ENGLPUSHKA UnitPus(EN) 6
$EXPLODE ENGLPUSHKA 0 0 PU2ZDANIA 1
PRUPUSHKA UnitPus(PR) 3
PRUPUSHKA UnitPus(PR) 4
PRUPUSHKA UnitPus(PR) 5
PRUPUSHKA UnitPus(PR) 6
$EXPLODE PRUPUSHKA 0 0 PU2ZDANIA 1
PRUGPUSHKA UnitPus(PR) 3
PRUGPUSHKA UnitPus(PR) 4
PRUGPUSHKA UnitPus(PR) 5
PRUGPUSHKA UnitPus(PR) 6
$EXPLODE PRUGPUSHKA 0 0 PU2ZDANIA 1
PRULPUSHKA UnitPus(PR) 3
PRULPUSHKA UnitPus(PR) 4
PRULPUSHKA UnitPus(PR) 5
PRULPUSHKA UnitPus(PR) 6
$EXPLODE PRULPUSHKA 0 0 PU2ZDANIA 1
AUSPUSHKA UnitPus(AU) 3
AUSPUSHKA UnitPus(AU) 4
AUSPUSHKA UnitPus(AU) 5
AUSPUSHKA UnitPus(AU) 6
$EXPLODE AUSPUSHKA 0 0 PU2ZDANIA 1
AUSGPUSHKA UnitPus(AU) 3
AUSGPUSHKA UnitPus(AU) 4
AUSGPUSHKA UnitPus(AU) 5
AUSGPUSHKA UnitPus(AU) 6
$EXPLODE AUSGPUSHKA 0 0 PU2ZDANIA 1
AUSLPUSHKA UnitPus(AU) 3
AUSLPUSHKA UnitPus(AU) 4
AUSLPUSHKA UnitPus(AU) 5
AUSLPUSHKA UnitPus(AU) 6
$EXPLODE AUSLPUSHKA 0 0 PU2ZDANIA 1
OBOZ HGuDeath(NE) 0
$EXPLODE OBOZ  0 0 STRELDEZ 0
PEASANT UnitKri(FR) 0
$EXPLODE PEASANT  0 0 STRELDEZ 0
